service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
75401,20250901,20260104,0,0,0,0,0,0,0
1201_merged_14809291,20250901,20260104,0,0,0,0,0,0,0
162601_merged_14809292,20250901,20260104,0,0,0,0,0,0,0
49103,20250623,20250831,0,0,0,0,0,0,0
259801_merged_14809303,20250901,20260104,0,0,0,0,0,0,0
701,20250901,20260104,0,0,0,0,0,0,0
155601_merged_14809307,20250901,20260104,0,0,0,0,0,0,0
155601_merged_14809289,20250623,20250831,0,0,0,0,0,0,0
32603_merged_14809290,20250901,20260104,0,0,0,0,0,0,0
62201,20250901,20260104,0,0,0,0,0,0,0
259803_merged_14809284,20250623,20250831,0,0,0,0,0,0,0
152301_merged_14809301,20250901,20260104,0,0,0,0,0,0,0
75301,20250901,20260104,0,0,0,0,0,0,0
259803_merged_14809302,20250901,20260104,0,0,0,0,0,0,0
49601,20250623,20250831,0,0,0,0,0,0,0
253403_merged_14809276,20250623,20250831,0,0,0,0,0,0,0
3_merged_14809278,20250623,20250831,0,0,0,0,0,0,1
-999_merged_14809298,20250901,20260104,1,1,1,1,1,1,1
3_merged_14809296,20250901,20260104,0,0,0,0,0,0,1
62101,20250901,20260104,0,0,0,0,0,0,0
253403_merged_14809294,20250901,20260104,0,0,0,0,0,0,0
401,20250901,20260104,0,0,0,0,0,0,0
152201_merged_14809275,20250623,20250831,0,0,0,0,0,0,0
1901,20250901,20260104,0,0,0,0,0,0,0
32603_merged_14809272,20250623,20250831,0,0,0,0,0,0,0
2_merged_14809279,20250623,20250831,0,0,0,0,0,1,0
201,20250901,20260104,0,0,0,0,0,0,0
162503_merged_14809306,20250901,20260104,0,0,0,0,0,0,0
1101_merged_14809282,20250623,20250831,0,0,0,0,0,0,0
49602,20250623,20250831,0,0,0,0,0,0,0
49603,20250623,20250831,0,0,0,0,0,0,0
1803_merged_14809304,20250901,20260104,0,0,0,0,0,0,0
118403,20250901,20260104,0,0,0,0,0,0,0
152201_merged_14809293,20250901,20260104,0,0,0,0,0,0,0
1101_merged_14809300,20250901,20260104,0,0,0,0,0,0,0
169801_merged_14809305,20250901,20260104,0,0,0,0,0,0,0
118401,20250623,20250831,0,0,0,0,0,0,0
1803_merged_14809286,20250623,20250831,0,0,0,0,0,0,0
101,20250901,20260104,0,0,0,0,0,0,0
801,20250901,20260104,0,0,0,0,0,0,0
2_merged_14809297,20250901,20260104,0,0,0,0,0,1,0
259802_merged_14809281,20250623,20250831,0,0,0,0,0,0,0
1201_merged_14809273,20250623,20250831,0,0,0,0,0,0,0
152301_merged_14809283,20250623,20250831,0,0,0,0,0,0,0
-999_merged_14809280,20250623,20250831,1,1,1,1,1,1,1
259801_merged_14809285,20250623,20250831,0,0,0,0,0,0,0
162601_merged_14809274,20250623,20250831,0,0,0,0,0,0,0
2001,20250901,20260104,0,0,0,0,0,0,0
259802_merged_14809299,20250901,20260104,0,0,0,0,0,0,0
1_merged_14809295,20250901,20260104,1,1,1,1,1,0,0
169801_merged_14809287,20250623,20250831,0,0,0,0,0,0,0
162503_merged_14809288,20250623,20250831,0,0,0,0,0,0,0
1_merged_14809277,20250623,20250831,1,1,1,1,1,0,0
